,Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
0,0982e3bb-9e45-44e7-b36c-0a064cf42f4f,45160184-3fb6-4ddc-8aee-a8921cbeaab7,Fully Paid,268708.0,Short Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,16969.28,15.7,61.0,12.0,1.0,177251.0,295724.0,1.0,0.0
1,e4954246-cba6-4f8a-905e-f4bc7816af4c,ad08a25b-efb7-4264-8694-e8c24d61faed,Fully Paid,220022.0,Short Term,724.0,1174162.0,0 years,Home Mortgage,Debt Consolidation,10229.22,15.1,15.0,13.0,0.0,272403.0,497508.0,0.0,0.0
3,9201e47f-5c7a-483a-985f-483e9ee789cd,ec9bc685-91c6-47be-b383-dd7e76072587,Fully Paid,286132.0,Long Term,713.0,1351413.0,4 years,Home Mortgage,Debt Consolidation,6374.31,13.2,35.0,8.0,0.0,149378.0,246026.0,0.0,0.0
4,9834c3a7-cbfd-425b-aed5-c3d473e6c112,f8b9502c-fa78-4eff-b126-a8a5927e7f0f,Fully Paid,277178.0,Short Term,706.0,1215620.0,10+ years,Home Mortgage,Debt Consolidation,16815.95,20.2,300.0,9.0,0.0,353172.0,476586.0,0.0,0.0
5,3a09854e-5984-4aff-895d-1212725cb1bb,ba41f7d3-5151-4d48-8869-b167cac1ae20,Fully Paid,531476.0,Long Term,724.0,1174162.0,10+ years,Home Mortgage,Debt Consolidation,31317.89,26.9,8.0,9.0,0.0,55841.0,261800.0,0.0,0.0
6,1cad7323-0582-428b-ad0e-5169739a39ca,21fa5ff4-fa56-43ac-a551-be1569eed9bb,Charged Off,442244.0,Short Term,743.0,1241308.0,6 years,Home Mortgage,Debt Consolidation,9496.01,21.0,13.0,11.0,0.0,468996.0,961158.0,0.0,0.0
7,71ac35f2-6fed-4f9d-9cf6-d024ecd62c40,f34ebb63-e34a-4aa1-ab9d-1d987c08cad7,Fully Paid,107360.0,Short Term,724.0,1174162.0,6 years,Home Mortgage,Debt Consolidation,28184.03,27.6,300.0,14.0,0.0,471618.0,910140.0,0.0,0.0
8,18a7c1c5-1e64-4160-86dd-7475d2f365af,c2f720c7-0037-46fa-803c-d0df19a02068,Charged Off,406252.0,Short Term,724.0,1174162.0,2 years,Home Mortgage,Debt Consolidation,21049.34,19.4,77.0,9.0,1.0,129238.0,185658.0,1.0,0.0
9,0d5f3e94-fefe-4116-b3fe-d9bd1c311dbb,af48c161-d1ca-494b-ba58-f6c4b6f99dce,Fully Paid,214698.0,Short Term,734.0,1404233.0,7 years,Home Mortgage,Home Improvements,10871.04,25.3,300.0,12.0,1.0,141227.0,675752.0,1.0,0.0
10,f4324cf2-b623-4a27-ba47-d8b964da05ee,e56c4361-f2cb-4014-84ca-5536b805d53b,Charged Off,143000.0,Short Term,724.0,1174162.0,0 years,Rent,Debt Consolidation,12843.05,8.2,300.0,8.0,0.0,105526.0,151976.0,0.0,0.0
12,119fdf54-aec3-40c7-b8c2-af23865cdf9a,9efa1b75-55b4-4c6a-b239-7f61aa0c848f,Fully Paid,247456.0,Short Term,744.0,932520.0,7 years,Rent,Debt Consolidation,15930.55,9.6,300.0,13.0,1.0,151316.0,310662.0,1.0,0.0
13,5f307961-5a19-47f3-9838-7ef967bbaa35,2bc3bf0f-2864-4a59-8371-19c36ab3a4fd,Charged Off,109692.0,Short Term,724.0,1174162.0,< 1 year,Home Mortgage,Home Improvements,7367.06,12.5,300.0,12.0,2.0,40926.0,148544.0,2.0,0.0
